Gender,Age,CGPA,Matriculation Percentage,Intermediate Percentage,Data Structures And Algorithm Marks,DBMS Marks,Number of backlogs,Number of Reappears,History of Reappear/Backlogs,Programming proficiency,GitHub total repositories,GitHub commits/month,Experience with frameworks,English proficiency,Coding practice hours/week,Aptitude score,Attandance,Recommended Career
Female,19,8.2,84.0,86.0,79.0,82.0,0.0,0.0,Proactive in learning new skills.,Intermediate,8.0,28.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Good,26.0,74.0,86.0,Software Engineer
Male,22,5.8,63.0,66.0,48.0,53.0,4.0,2.0,Struggling with coursework.,Beginner,0.0,1.0,"TensorFlow, PyTorch, Keras",Poor,2.0,35.0,50.0,Software Engineer
Female,20,9.1,93.0,95.0,91.0,94.0,0.0,0.0,High achiever.,Advanced,13.0,48.0,Django,Excellent,33.0,84.0,91.0,Software Engineer
Male,21,7.0,73.0,76.0,65.0,70.0,1.0,1.0,Consistent but not exceptional.,Beginner,3.0,9.0,"TensorFlow, PyTorch, Keras",Average,9.0,58.0,68.0,AI/ML Engineer
Female,19,8.4,86.0,88.0,82.0,84.0,0.0,0.0,Dedicated and hardworking.,Intermediate,6.0,23.0,Node,Good,24.0,76.0,84.0,Software Engineer
Male,22,6.3,66.0,69.0,53.0,58.0,3.0,1.0,Needs to focus on fundamentals.,Beginner,1.0,4.0,"TensorFlow, PyTorch, Keras",Poor,4.0,42.0,58.0,Software Engineer
Female,20,9.4,95.0,97.0,94.0,97.0,0.0,0.0,Top performing student.,Advanced,16.0,58.0,Angular,Excellent,36.0,89.0,94.0,Software Engineer
Male,21,7.7,81.0,84.0,74.0,76.0,0.0,0.0,Good grasp of concepts.,Intermediate,4.0,14.0,React,Good,17.0,67.0,76.0,Software Engineer
Female,19,8.1,83.0,85.0,77.0,79.0,0.0,0.0,Showed steady progress.,Intermediate,7.0,26.0,Node,Good,21.0,71.0,81.0,Software Engineer
Male,22,5.5,60.0,63.0,45.0,50.0,5.0,3.0,Very weak understanding.,Beginner,0.0,0.0,"TensorFlow, PyTorch, Keras",Poor,2.0,30.0,52.0,Software Engineer
Male,20,8.7,88.0,85.0,78.0,92.0,0.0,0.0,"Average performance in Physics, strong in Math.",Intermediate,8.0,25.0,React,Good,18.0,75.0,85.0,Software Engineer
Female,21,9.2,92.0,90.0,95.0,88.0,0.0,0.0,"Consistently top performer, interested in research.",Advanced,15.0,40.0,Node,Excellent,25.0,88.0,92.0,Software Engineer
Male,19,6.8,75.0,72.0,60.0,70.0,2.0,1.0,"Struggles with theoretical concepts, excels in practicals.",Beginner,2.0,5.0,"TensorFlow, PyTorch, Keras",Average,8.0,55.0,70.0,AI/ML Engineer
Female,22,7.5,82.0,80.0,70.0,75.0,1.0,0.0,Improved significantly in the last semester.,Intermediate,5.0,15.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Good,15.0,65.0,78.0,Software Engineer
Male,20,8.1,85.0,83.0,85.0,80.0,0.0,0.0,Active participant in coding competitions.,Advanced,12.0,35.0,Angular,Good,22.0,80.0,88.0,Software Engineer
Female,21,9.5,95.0,93.0,98.0,95.0,0.0,0.0,"Excellent academic record, interested in AI.",Advanced,18.0,50.0,React,Excellent,30.0,95.0,95.0,Software Engineer
Male,23,5.8,65.0,62.0,45.0,50.0,4.0,2.0,Difficulty understanding algorithms.,Beginner,0.0,0.0,"TensorFlow, PyTorch, Keras",Poor,5.0,40.0,60.0,Software Engineer
Female,19,8.9,90.0,88.0,90.0,85.0,0.0,0.0,"Strong analytical skills, quick learner.",Intermediate,10.0,30.0,Node,Good,20.0,82.0,90.0,Software Engineer
Male,20,7.2,78.0,75.0,65.0,72.0,1.0,0.0,Needs to focus on time management.,Beginner,3.0,8.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Average,10.0,60.0,75.0,Software Engineer
Female,22,8.4,87.0,85.0,82.0,78.0,0.0,0.0,"Consistent performer, good communication skills.",Intermediate,7.0,20.0,Django,Good,17.0,70.0,82.0,Software Engineer
Male,21,6.5,72.0,70.0,55.0,65.0,3.0,1.0,Struggles with coding assignments.,Beginner,1.0,2.0,"TensorFlow, PyTorch, Keras",Average,7.0,50.0,65.0,Software Engineer
Female,20,9.1,93.0,91.0,93.0,90.0,0.0,0.0,"Dedicated student, excels in group projects.",Advanced,14.0,45.0,Angular,Excellent,28.0,90.0,93.0,Software Engineer
Male,19,7.8,80.0,78.0,75.0,77.0,0.0,0.0,"Improving steadily, proactive learner.",Intermediate,6.0,12.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Good,13.0,68.0,80.0,Software Engineer
Female,23,6.1,68.0,65.0,50.0,60.0,5.0,3.0,Difficulty grasping fundamental concepts.,Beginner,0.0,0.0,"TensorFlow, PyTorch, Keras",Poor,4.0,45.0,55.0,Software Engineer
Male,22,8.6,89.0,87.0,87.0,82.0,0.0,0.0,Passionate about web development.,Intermediate,9.0,28.0,Node,Good,19.0,78.0,87.0,Software Engineer
Female,21,9.7,96.0,94.0,99.0,97.0,0.0,0.0,"Exceptional academic record, aspiring to become a data scientist.",Advanced,20.0,55.0,React,Excellent,35.0,98.0,97.0,Software Engineer
Male,20,5.5,62.0,60.0,40.0,45.0,4.0,2.0,Needs significant improvement in all areas.,Beginner,0.0,0.0,"TensorFlow, PyTorch, Keras",Poor,2.0,35.0,50.0,Software Engineer
Female,19,8.3,86.0,84.0,80.0,83.0,0.0,0.0,Good understanding of software engineering principles.,Intermediate,7.0,22.0,Django,Good,16.0,72.0,83.0,Software Engineer
Male,22,7.0,77.0,74.0,62.0,68.0,2.0,1.0,Requires more practice in coding.,Beginner,2.0,4.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Average,9.0,58.0,72.0,Web Developer
Female,21,9.0,91.0,89.0,92.0,87.0,0.0,0.0,Consistently demonstrates excellent problem-solving skills.,Advanced,13.0,38.0,Angular,Excellent,26.0,85.0,91.0,Software Engineer
Male,20,6.3,70.0,68.0,52.0,62.0,3.0,1.0,Lacks focus in theoretical subjects.,Beginner,1.0,3.0,"TensorFlow, PyTorch, Keras",Average,6.0,48.0,63.0,Software Engineer
Female,23,8.0,83.0,81.0,77.0,76.0,0.0,0.0,Actively participates in hackathons.,Intermediate,6.0,18.0,React,Good,14.0,67.0,81.0,Software Engineer
Male,19,7.6,79.0,77.0,73.0,74.0,1.0,0.0,Shows promise in mobile app development.,Intermediate,4.0,10.0,"TensorFlow, PyTorch, Keras",Good,12.0,63.0,79.0,Software Engineer
Female,22,9.3,94.0,92.0,96.0,93.0,0.0,0.0,Exceptional communication and leadership skills.,Advanced,16.0,48.0,Node,Excellent,29.0,92.0,94.0,Software Engineer
Male,21,5.9,66.0,63.0,48.0,55.0,4.0,2.0,Needs to improve his overall academic performance.,Beginner,0.0,1.0,"TensorFlow, PyTorch, Keras",Poor,3.0,42.0,58.0,Software Engineer
Male,20,8.7,88.0,92.0,85.0,78.0,0.0,0.0,Interested in AI and cloud computing.,Intermediate,8.0,25.0,Node,Good,15.0,75.0,88.0,Software Engineer
Female,19,9.2,95.0,96.0,92.0,95.0,0.0,0.0,Passionate about competitive programming.,Advanced,15.0,40.0,React,Excellent,25.0,85.0,95.0,Software Engineer
Male,21,6.8,75.0,78.0,65.0,58.0,2.0,1.0,Struggling with data structures.,Beginner,2.0,5.0,"TensorFlow, PyTorch, Keras",Average,8.0,55.0,70.0,AI/ML Engineer
Female,20,7.9,82.0,85.0,78.0,82.0,1.0,0.0,Interested in web development.,Intermediate,5.0,15.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Good,12.0,68.0,82.0,Software Engineer
Male,22,5.9,68.0,70.0,55.0,48.0,4.0,2.0,Needs improvement in algorithms.,Beginner,0.0,0.0,"TensorFlow, PyTorch, Keras",Poor,5.0,45.0,60.0,Software Engineer
Female,19,9.5,93.0,94.0,98.0,96.0,0.0,0.0,Aiming for a career in data science.,Advanced,18.0,50.0,Angular,Excellent,30.0,90.0,98.0,Software Engineer
Male,20,7.2,78.0,80.0,70.0,65.0,1.0,0.0,Focusing on backend development.,Intermediate,3.0,10.0,Node,Average,10.0,60.0,75.0,Software Engineer
Female,21,8.5,85.0,88.0,82.0,80.0,0.0,0.0,Exploring different technologies.,Intermediate,7.0,20.0,React,Good,18.0,78.0,90.0,Software Engineer
Male,18,6.3,70.0,72.0,60.0,52.0,3.0,1.0,Having difficulty with DBMS concepts.,Beginner,1.0,2.0,"TensorFlow, PyTorch, Keras",Average,6.0,50.0,65.0,Software Engineer
Female,22,9.0,90.0,91.0,90.0,92.0,0.0,0.0,Working on machine learning projects.,Advanced,12.0,35.0,Django,Excellent,22.0,82.0,92.0,Software Engineer
Male,19,7.5,80.0,83.0,75.0,70.0,1.0,0.0,Interested in cybersecurity.,Intermediate,4.0,12.0,"TensorFlow, PyTorch, Keras",Good,14.0,65.0,80.0,Software Engineer
Female,20,8.2,83.0,86.0,79.0,83.0,0.0,0.0,Learning about cloud infrastructure.,Intermediate,6.0,18.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Good,16.0,72.0,85.0,Software Engineer
Male,21,6.0,69.0,71.0,58.0,50.0,4.0,2.0,Needs to improve coding skills.,Beginner,0.0,0.0,"TensorFlow, PyTorch, Keras",Poor,4.0,48.0,62.0,Software Engineer
Female,18,9.7,94.0,95.0,99.0,97.0,0.0,0.0,Excited about artificial intelligence.,Advanced,19.0,55.0,Angular,Excellent,35.0,95.0,99.0,Software Engineer
Male,22,7.0,77.0,79.0,68.0,63.0,2.0,1.0,Exploring mobile app development.,Intermediate,3.0,8.0,Node,Average,9.0,58.0,72.0,Web Developer
Female,19,8.8,87.0,90.0,86.0,84.0,0.0,0.0,Passionate about full-stack development.,Advanced,10.0,30.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Excellent,20.0,80.0,94.0,Software Engineer
Male,20,6.5,72.0,74.0,62.0,55.0,3.0,1.0,Struggling with database management.,Beginner,1.0,3.0,"TensorFlow, PyTorch, Keras",Average,7.0,52.0,68.0,Software Engineer
Female,21,9.3,92.0,93.0,94.0,93.0,0.0,0.0,Dedicated to data analysis and visualization.,Advanced,16.0,45.0,React,Excellent,28.0,88.0,96.0,Software Engineer
Male,18,7.7,81.0,84.0,76.0,72.0,1.0,0.0,Interested in blockchain technology.,Intermediate,5.0,14.0,,Good,13.0,66.0,78.0,Software Engineer
Female,22,5.5,65.0,67.0,50.0,45.0,5.0,3.0,Needs serious academic improvement.,Beginner,0.0,0.0,,Poor,2.0,40.0,55.0,Software Engineer
Male,19,8.3,84.0,87.0,80.0,79.0,0.0,0.0,Focused on software engineering principles.,Intermediate,7.0,22.0,Node,Good,17.0,74.0,86.0,Software Engineer
Female,20,9.1,89.0,91.0,91.0,94.0,0.0,0.0,Aspiring to become a software architect.,Advanced,14.0,38.0,Angular,Excellent,24.0,84.0,93.0,Software Engineer
Male,21,6.7,74.0,76.0,64.0,57.0,2.0,1.0,Seeking guidance in choosing a specialization.,Beginner,2.0,4.0,,Average,8.0,54.0,69.0,Web Developer
Female,18,7.6,80.0,82.0,74.0,71.0,1.0,0.0,Exploring opportunities in AI research.,Intermediate,4.0,11.0,React,Good,11.0,64.0,79.0,Software Engineer
Male,22,5.8,67.0,69.0,54.0,47.0,4.0,2.0,Needs to catch up on coursework.,Beginner,0.0,0.0,,Poor,3.0,44.0,58.0,Software Engineer
Male,20,8.5,88.0,92.0,85.0,90.0,0.0,0.0,"Consistent performer, actively participates in coding events",Intermediate,5.0,25.0,React,Good,20.0,75.0,85.0,Software Engineer
Female,21,9.2,94.0,96.0,92.0,95.0,0.0,0.0,"Strong analytical skills, excels in algorithms and data structures",Advanced,12.0,45.0,Node,Excellent,30.0,88.0,92.0,Software Engineer
Male,19,6.8,75.0,78.0,65.0,70.0,2.0,1.0,"Struggles with consistency, needs to improve time management",Beginner,1.0,5.0,,Average,8.0,55.0,70.0,Web Developer
Female,22,7.9,82.0,85.0,78.0,80.0,1.0,0.0,"Dedicated and hardworking, shows promise in web development",Intermediate,3.0,15.0,Angular,Good,15.0,68.0,78.0,Software Engineer
Male,20,8.1,85.0,87.0,82.0,88.0,0.0,0.0,"Good problem-solving abilities, interested in machine learning",Intermediate,7.0,30.0,Django,Good,25.0,72.0,88.0,Software Engineer
Female,21,9.5,95.0,97.0,95.0,98.0,0.0,0.0,"Exceptional coding skills, actively contributes to open-source projects",Advanced,18.0,55.0,React,Excellent,35.0,92.0,95.0,Software Engineer
Male,23,6.2,70.0,72.0,55.0,60.0,3.0,2.0,"Lacks focus, needs to improve fundamental concepts",Beginner,0.0,0.0,,Poor,5.0,45.0,60.0,Software Engineer
Female,19,8.7,90.0,93.0,88.0,92.0,0.0,0.0,"Quick learner, demonstrates a strong understanding of database concepts",Intermediate,6.0,28.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Good,22.0,78.0,90.0,Software Engineer
Male,22,7.3,78.0,80.0,70.0,75.0,1.0,1.0,Needs to improve coding speed and accuracy,Beginner,2.0,8.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Average,10.0,60.0,75.0,Software Engineer
Female,20,9.0,92.0,94.0,90.0,93.0,0.0,0.0,"Consistent and reliable, excels in software engineering principles",Advanced,10.0,40.0,Angular,Excellent,28.0,85.0,93.0,Software Engineer
Male,21,6.5,72.0,75.0,60.0,65.0,2.0,1.0,Struggles with data structures and algorithms,Beginner,1.0,3.0,,Average,7.0,50.0,65.0,Software Engineer
Female,22,8.3,86.0,89.0,83.0,85.0,0.0,0.0,Shows great potential in backend development,Intermediate,4.0,18.0,Django,Good,18.0,70.0,83.0,Software Engineer
Male,19,7.0,76.0,79.0,68.0,72.0,1.0,0.0,Needs to improve programming proficiency,Beginner,2.0,7.0,,Average,9.0,58.0,72.0,Web Developer
Female,20,9.7,96.0,98.0,97.0,99.0,0.0,0.0,A star performer with exceptional problem-solving skills,Advanced,15.0,50.0,React,Excellent,38.0,95.0,97.0,Software Engineer
Male,23,5.8,65.0,68.0,50.0,55.0,4.0,3.0,Needs to focus on academics and improve attendance,Beginner,0.0,0.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Poor,4.0,35.0,55.0,Software Engineer
Female,21,8.0,83.0,86.0,79.0,82.0,0.0,0.0,Dedicated and hardworking student,Intermediate,5.0,22.0,Node,Good,16.0,69.0,80.0,Software Engineer
Male,22,7.5,79.0,82.0,72.0,77.0,1.0,1.0,Shows potential but needs to improve consistency,Beginner,3.0,10.0,,Average,11.0,63.0,77.0,Software Engineer
Female,19,9.3,93.0,95.0,93.0,96.0,0.0,0.0,An outstanding student with a passion for coding,Advanced,14.0,48.0,Angular,Excellent,32.0,90.0,93.0,Software Engineer
Male,20,6.0,68.0,70.0,53.0,58.0,3.0,2.0,Needs to work on fundamental concepts and practice more,Beginner,0.0,1.0,,Poor,6.0,40.0,58.0,Software Engineer
Female,21,8.6,89.0,91.0,86.0,89.0,0.0,0.0,A well-rounded student with a strong understanding of computer science principles,Intermediate,8.0,33.0,Django,Good,24.0,76.0,89.0,Software Engineer
Male,22,7.1,77.0,80.0,69.0,73.0,1.0,0.0,Needs to improve his problem-solving skills,Beginner,1.0,6.0,,Average,10.0,59.0,73.0,Software Engineer
Female,19,9.8,97.0,99.0,98.0,100.0,0.0,0.0,A top-performing student with exceptional coding abilities,Advanced,20.0,60.0,React,Excellent,40.0,98.0,98.0,Software Engineer
Male,20,6.3,71.0,74.0,57.0,62.0,2.0,1.0,Needs to focus on core subjects and improve attendance,Beginner,0.0,2.0,,Poor,5.0,43.0,62.0,Software Engineer
Female,21,8.4,87.0,90.0,84.0,87.0,0.0,0.0,A dedicated student with a strong work ethic,Intermediate,6.0,20.0,Node,Good,17.0,73.0,84.0,Software Engineer
Male,22,7.6,80.0,83.0,73.0,78.0,1.0,1.0,Shows promise but needs to improve coding speed,Beginner,2.0,9.0,,Average,12.0,65.0,78.0,Software Engineer
Male,20,8.7,88.0,92.0,85.0,90.0,0.0,0.0,Interested in competitive coding,Advanced,12.0,45.0,React,Excellent,30.0,85.0,92.0,Software Engineer
Female,19,9.2,95.0,93.0,92.0,95.0,0.0,0.0,Passionate about AI and ML,Advanced,18.0,55.0,Node,Excellent,35.0,90.0,95.0,Software Engineer
Male,21,7.5,78.0,82.0,70.0,75.0,1.0,1.0,Enjoys web development,Intermediate,5.0,20.0,Django,Good,15.0,65.0,80.0,Software Engineer
Female,20,8.1,85.0,89.0,78.0,82.0,0.0,0.0,Exploring data science,Intermediate,8.0,25.0,Angular,Good,20.0,75.0,88.0,Software Engineer
Male,22,6.8,72.0,76.0,65.0,70.0,2.0,1.0,Interested in backend development,Beginner,3.0,10.0,Node,Average,10.0,55.0,70.0,Web Developer
Female,19,9.5,97.0,96.0,95.0,98.0,0.0,0.0,Aspiring to be a software engineer,Advanced,20.0,60.0,React,Excellent,40.0,95.0,98.0,Software Engineer
Male,21,7.9,80.0,85.0,75.0,80.0,1.0,0.0,Learning mobile development,Intermediate,7.0,22.0,,Good,18.0,70.0,85.0,Software Engineer
Female,20,8.5,87.0,90.0,82.0,87.0,0.0,0.0,Interested in cloud computing,Intermediate,10.0,30.0,Angular,Good,25.0,80.0,90.0,Software Engineer
Male,23,6.2,68.0,72.0,55.0,60.0,3.0,2.0,Focus on passing exams,Beginner,1.0,5.0,,Average,5.0,45.0,65.0,Software Engineer
Female,19,9.0,93.0,94.0,90.0,93.0,0.0,0.0,Passionate about full-stack development,Advanced,15.0,50.0,Django,Excellent,32.0,88.0,93.0,Software Engineer
Male,20,7.3,75.0,79.0,68.0,73.0,1.0,1.0,Exploring cybersecurity,Intermediate,4.0,15.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Average,12.0,60.0,75.0,Software Engineer
Female,22,8.8,90.0,91.0,88.0,91.0,0.0,0.0,Interested in UI/UX design,Advanced,13.0,40.0,React,Excellent,28.0,83.0,91.0,Software Engineer
Male,21,6.5,70.0,74.0,60.0,65.0,2.0,1.0,Struggling with academics,Beginner,2.0,8.0,,Poor,8.0,50.0,68.0,Web Developer
Female,20,9.3,96.0,95.0,93.0,96.0,0.0,0.0,Aspiring to be a data scientist,Advanced,19.0,58.0,Node,Excellent,38.0,92.0,96.0,Software Engineer
Male,22,7.7,79.0,83.0,73.0,78.0,1.0,0.0,Learning game development,Intermediate,6.0,21.0,,Good,17.0,68.0,83.0,Software Engineer
Female,19,8.3,86.0,88.0,80.0,85.0,0.0,0.0,Interested in machine learning,Intermediate,9.0,27.0,Angular,Good,22.0,78.0,88.0,Software Engineer
Male,21,6.0,65.0,70.0,50.0,55.0,4.0,2.0,Trying to improve grades,Beginner,0.0,3.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Poor,3.0,40.0,60.0,Software Engineer
Female,20,9.7,98.0,97.0,97.0,99.0,0.0,0.0,Aiming for a research career,Advanced,20.0,60.0,Django,Excellent,40.0,98.0,99.0,Software Engineer
Male,22,7.0,73.0,77.0,63.0,68.0,2.0,1.0,Interested in network engineering,Beginner,3.0,12.0,,Average,11.0,58.0,73.0,Software Engineer
Female,19,8.6,89.0,91.0,83.0,88.0,0.0,0.0,Exploring cloud solutions,Intermediate,11.0,33.0,React,Good,26.0,81.0,91.0,Software Engineer
Male,21,6.3,67.0,71.0,53.0,58.0,3.0,2.0,Need to focus on studies,Beginner,1.0,6.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Poor,6.0,48.0,66.0,Software Engineer
Female,20,9.1,94.0,93.0,91.0,94.0,0.0,0.0,Planning for higher studies,Advanced,17.0,53.0,Node,Excellent,36.0,89.0,94.0,Software Engineer
Male,23,5.8,62.0,68.0,45.0,50.0,5.0,3.0,Just trying to graduate,Beginner,0.0,2.0,,Poor,2.0,35.0,55.0,Software Engineer
Female,19,8.0,82.0,86.0,77.0,81.0,0.0,0.0,Interested in data analysis,Intermediate,7.0,24.0,Angular,Good,19.0,73.0,86.0,Software Engineer
Male,20,7.6,77.0,81.0,72.0,77.0,1.0,0.0,Focusing on web development,Intermediate,5.0,18.0,Django,Good,14.0,63.0,81.0,Software Engineer
Male,20,8.7,89.5,92.1,85.0,92.0,0.0,0.0,Active in coding competitions,Advanced,12.0,45.0,React,Good,25.0,88.0,85.0,Software Engineer
Female,21,9.2,94.2,95.8,95.0,90.0,0.0,0.0,Led a team in hackathon,Advanced,18.0,55.0,Node,Excellent,30.0,92.0,90.0,Software Engineer
Male,19,7.5,78.9,82.5,70.0,75.0,1.0,1.0,Participated in coding events,Intermediate,5.0,20.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Average,15.0,65.0,75.0,Software Engineer
Female,22,6.8,72.3,75.1,60.0,68.0,2.0,1.0,Struggles with algorithms,Beginner,2.0,5.0,,Average,8.0,50.0,70.0,Web Developer
Male,20,8.1,85.6,88.9,80.0,88.0,0.0,0.0,Keen interest in web development,Intermediate,8.0,30.0,React,Good,20.0,78.0,80.0,Software Engineer
Female,21,9.5,96.1,97.3,98.0,95.0,0.0,0.0,Research intern at university,Advanced,20.0,60.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Excellent,35.0,95.0,95.0,Software Engineer
Male,23,6.2,68.4,71.7,55.0,62.0,3.0,2.0,Difficulty understanding concepts,Beginner,1.0,2.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Poor,5.0,40.0,60.0,Software Engineer
Female,20,7.9,83.2,86.4,75.0,82.0,0.0,0.0,Interested in data science,Intermediate,7.0,25.0,,Good,18.0,72.0,82.0,Software Engineer
Male,19,8.5,87.9,90.5,82.0,89.0,0.0,0.0,Contributed to open-source projects,Intermediate,10.0,38.0,Angular,Good,22.0,85.0,88.0,Software Engineer
Female,22,9.0,92.8,94.6,93.0,88.0,0.0,0.0,Interned at a tech company,Advanced,15.0,50.0,Node,Excellent,28.0,90.0,92.0,Software Engineer
Male,21,6.5,70.1,73.5,58.0,65.0,2.0,1.0,Needs improvement in coding,Beginner,3.0,8.0,,Average,10.0,45.0,65.0,Software Engineer
Female,20,8.3,86.7,89.2,78.0,85.0,0.0,0.0,Learns quickly and efficiently,Intermediate,9.0,33.0,React,Good,21.0,80.0,84.0,Software Engineer
Male,19,7.0,75.4,78.8,65.0,72.0,1.0,1.0,Slowly grasping the fundamentals,Beginner,4.0,12.0,,Average,12.0,55.0,72.0,Software Engineer
Female,23,9.7,97.5,98.1,99.0,96.0,0.0,0.0,Published research paper,Advanced,20.0,58.0,Django,Excellent,38.0,98.0,97.0,Software Engineer
Male,20,5.8,65.2,68.6,50.0,58.0,4.0,2.0,Consistently seeks help,Beginner,0.0,0.0,,Poor,4.0,35.0,55.0,Software Engineer
Female,21,8.0,84.5,87.1,76.0,83.0,0.0,0.0,Actively participates in discussions,Intermediate,6.0,23.0,,Good,17.0,75.0,81.0,Software Engineer
Male,22,7.3,77.1,80.3,68.0,74.0,1.0,0.0,Has a knack for debugging,Intermediate,7.0,28.0,,Average,19.0,68.0,78.0,Software Engineer
Female,19,8.8,90.7,93.2,87.0,93.0,0.0,0.0,Great at problem-solving,Advanced,13.0,47.0,React,Good,26.0,89.0,86.0,Software Engineer
Male,20,6.0,66.9,70.2,53.0,60.0,3.0,1.0,Often misses deadlines,Beginner,2.0,6.0,,Poor,7.0,42.0,62.0,Software Engineer
Female,21,9.3,95.0,96.5,96.0,91.0,0.0,0.0,Exceptional analytical skills,Advanced,17.0,53.0,Node,Excellent,32.0,93.0,91.0,Software Engineer
Male,23,7.7,81.8,84.9,73.0,79.0,1.0,0.0,Shows promise in AI/ML,Intermediate,6.0,21.0,,Good,16.0,70.0,77.0,Software Engineer
Female,20,8.2,85.0,87.8,79.0,86.0,0.0,0.0,Enthusiastic about learning,Intermediate,8.0,31.0,Angular,Good,20.0,79.0,83.0,Software Engineer
Male,19,6.7,71.5,74.3,62.0,69.0,2.0,1.0,Needs more practice,Beginner,3.0,9.0,,Average,11.0,48.0,68.0,Software Engineer
Female,22,9.1,93.5,95.2,94.0,89.0,0.0,0.0,A quick and efficient learner,Advanced,16.0,51.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Excellent,29.0,91.0,93.0,Software Engineer
Male,21,5.5,62.1,65.4,45.0,55.0,5.0,3.0,Lacks focus and determination,Beginner,1.0,1.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Poor,3.0,30.0,50.0,Software Engineer
Male,20,8.7,85.0,88.0,78.0,92.0,0.0,0.0,"Excelled in data structures, passionate about algorithms.",Intermediate,8.0,25.0,React,Good,18.0,82.0,88.0,Software Engineer
